Code ISO 3,?????,????,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
ESP,???????,???,Spain,España,Espagne,183493,"185253,2",183493,185253.2
EST,???????,????,Estonia,Estonia,Estonie,22100,21960,22100,21960
ETH,???????,?????,Ethiopia,Etiopía,Éthiopie,121552,120144,121552,120144
EUU,??????? ????????,????,European Union,Unión Europea,Union européenne,"3038281,25","1597945,6",1592934.4,1597945.6
FCS,,,Fragile and conflict affected situations,,,3668437,2956026,3668437,2956026
FIN,??????,??,Finland,Finlandia,Finlande,221570,221570,221570,221570
FJI,????,??,Fiji,Fiji,Fidji,10174,10208,10174,10208
FRA,?????,??,France,Francia,France,160020,160500,160020,160500
FRO,??? ????,????,Faeroe Islands,Islas Feroe,Îles Féroé,1,1,1,1
FSM,?????? ?????????? ???????,????????,"Micronesia, Fed. Sts.",Micronesia (Estados Federados de),"Micronésie, États fédérés de","641,6","641,8",641.6,641.8
GAB,?????,??,Gabon,Gabón,Gabon,220000,220000,220000,220000
GBR,??????? ???????,??,United Kingdom,Reino Unido,Royaume-Uni,28882,28954,28882,28954
GEO,??????,????,Georgia,Georgia,Géorgie,"27397,4","27371,8",27397.4,27371.8
GHA,????,??,Ghana,Ghana,Ghana,48246,47092,48246,47092
GIN,?????,???,Guinea,Guinea,Guinée,65080,64720,65080,64720
GMB,??????,???,"Gambia, The",Gambia,Gambie,4818,4836,4818,4836
GNB,?????-?????,????????,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau,20120,20020,20120,20020
GNQ,????? ??????????,?????,Equatorial Guinea,Guinea Ecuatorial,Guinée équatoriale,16142,16024,16142,16024
GRC,???????,??,Greece,Grecia,Grèce,39332,39634,39332,39634
GRD,???????,????,Grenada,Granada,Grenade,"169,9","169,9",169.9,169.9
GRL,????????,???,Greenland,Groenlandia,Groenland,"2,2","2,2",2.2,2.2
GTM,?????????,????,Guatemala,Guatemala,Guatemala,36008,35446,36008,35446
GUM,????,??,Guam,Guam,Guam,"258,8","258,8",258.8,258.8
GUY,?????,???,Guyana,Guyana,Guyane,152050,152050,152050,152050
HIC,??????? ?????? ?????,?????,High income,Ingreso alto,Revenu élevé,18708275,"18703866,6",18708275,18703866.6
