Nueva Zelandia,"82.606,0","82.522,0"
Omán,"20,0","20,0"
Países Bajos,"3.650,0","3.650,0"
Pakistán,"16.440,0","16.010,0"
Palau,"403,0","403,0"
Panamá,"32.392,0","32.274,0"
Papua Nueva Guinea,"285.838,0","284.416,0"
Paraguay,"174.034,0","172.248,0"
Perú,"678.420,0","676.920,0"
Polinesia Francesa,"1.600,0","1.650,0"
Polonia,"93.644,0","93.918,0"
Portugal,"34.598,0","34.636,0"
Puerto Rico,"5.608,0","5.696,0"
Qatar,"0,0","0,0"
"Región Administrativa Especial de Macao, China",,
Reino Unido,"28.882,0","28.954,0"
República Árabe Siria,"4.970,0","5.030,0"
República Centroafricana,"225.750,0","225.450,0"
República Checa,"26.590,0","26.610,0"
República Democrática Popular Lao,"156.728,0","155.946,0"
República de Moldova,"3.906,0","3.952,0"
República Dominicana,"19.720,0","19.720,0"
República Eslovaca,"19.332,0","19.334,0"
Ribera Occidental y Gaza,"91,7","91,7"
Rumania,"66.094,0","66.458,0"
Rwanda,"4.450,0","4.550,0"
Saint Kitts y Nevis,"110,0","110,0"
Samoa,"1.710,0","1.710,0"
Samoa Americana,"176,8","176,4"
San Marino,"0,0","0,0"
Santa Lucía,"470,0","470,0"
Santo Tomé y Príncipe,"270,0","270,0"
San Vicente y las Granadinas,"267,8","268,6"
Senegal,"84.330,0","83.930,0"
Serbia,"27.604,0","28.078,0"
Seychelles,"407,0","407,0"
Sierra Leona,"27.064,0","26.868,0"
Singapur,"23,0","23,0"
Sint Maarten (Dutch part),,
Somalia,"66.702,0","65.934,0"
Sri Lanka,"18.454,0","18.308,0"
Sudáfrica,"92.410,0","92.410,0"
Sudán,"550.752,1",
Sudán del Sur,"148.195,9",
Suecia,"282.030,0","282.030,0"
Suiza,"12.446,0","12.492,0"
Suriname,"147.544,0","147.508,0"
Swazilandia,"5.674,0","5.718,0"
Tailandia,"189.868,0","190.016,0"
Tanzanía,"330.246,0","326.212,0"
Tayikistán,"4.100,0","4.100,0"
Timor-Leste,"7.308,0","7.196,0"
Togo,"2.672,0","2.672,0"
Tonga,"90,0","90,0"
Trinidad y Tobago,"2.256,8","2.249,6"
Túnez,"10.224,0","10.388,0"
Turkmenistán,"41.270,0","41.270,0"
Turquía,"114.528,0","115.716,0"
Tuvalu,"10,0","10,0"
Ucrania,"97.310,0","97.570,0"
Uganda,"28.998,0","28.116,0"
Uruguay,"17.888,0","18.336,0"
Uzbekistán,"32.716,0","32.677,0"
Vanuatu,"4.400,0","4.400,0"
Venezuela,"459.874,0","456.998,0"
Viet Nam,"139.410,0","140.850,0"
"Yemen, Rep. del","5.490,0","5.490,0"
Zambia,"493.014,0","491.348,0"
Zimbabwe,"152.970,0","149.700,0"
