Code ISO 3,البلد,国家名称,ENG id,ESP id,FR id,Forest area (sq. km) 2011 VIRGULE,Forest area (sq. km) 2012 VIRGULE,Forest area (sq. km) 2011 POINT,Forest area (sq. km) 2012 POINT
VIR,جزر فرجن (الولايات المتحدة الأمريكية),美属维京群岛,Virgin Islands (U.S.),Islas Vírgenes (EE.UU.),Îles Vierges (EU),201,199,201,199
VNM,فييتنام,越南,Vietnam,Viet Nam,Viet Nam,139410,140850,139410,140850
VUT,فانواتو,瓦努阿图,Vanuatu,Vanuatu,Vanuatu,4400,4400,4400,4400
PSE,الضفة الغربية وقطاع غزة,约旦河西岸和加沙,West Bank and Gaza,Ribera Occidental y Gaza,Cisjordanie et Gaza,"91,7","91,7",91.7,91.7
WLD,العالم,世界,World,Mundo,Monde,"40184163,7","39430117,2",40184163.7,39430117.2
WSM,ساموا,萨摩亚,Samoa,Samoa,Samoa,1710,1710,1710,1710
YEM,الجمهورية اليمنية,也门共和国,"Yemen, Rep.","Yemen, Rep. del","Yémen, Rép. du",5490,5490,5490,5490
ZAF,جنوب أفريقيا,南非,South Africa,Sudáfrica,Afrique du Sud,92410,92410,92410,92410
COD,جمهورية الكونغو الديمقراطية,刚果（金）,"Congo, Dem. Rep.","Congo, República Democrática del","Congo, République démocratique du",1538236,1535122,1538236,1535122
ZMB,زامبيا,赞比亚,Zambia,Zambia,Zambie,493014,491348,493014,491348
ZWE,زمبابوي,津巴布韦,Zimbabwe,Zimbabwe,Zimbabwe,152970,149700,152970,149700
