"COMMUNE","LAT","LON"
"M'TSANGAMOUJI ","12°44'57.474""S","45°5'3.806""E"
"ROUCY","49°22'4.148""N"," 3°48'57.885""E"
"ROZOY-BELLEVALLE","48°55'21.958""N"," 3°26'53.297""E"
"GRENOBLE","45°10'45.498""N","5°42'55.953""E"
