Nom Pays,Forest area (sq. km) 2011,Forest area (sq. km) 2012
République démocratique populaire lao,"156 728,0","155 946,0"
République dominicaine,"19 720,0","19 720,0"
République kirghize,"9 707,0","9 876,0"
République slovaque,"19 332,0","19 334,0"
République tchèque,"26 590,0","26 610,0"
Roumanie,"66 094,0","66 458,0"
Royaume-Uni,"28 882,0","28 954,0"
Rwanda,"4 450,0","4 550,0"
Sainte-Lucie,"470,0","470,0"
Saint-Kitts-et-Nevis,"110,0","110,0"
Saint-Marin,"0,0","0,0"
Saint-Martin (fr),,
Saint-Vincent-et-les Grenadines,"267,8","268,6"
Samoa,"1 710,0","1 710,0"
Samoa américaines,"176,8","176,4"
Sao Tomé-et-Principe,"270,0","270,0"
Sénégal,"84 330,0","83 930,0"
Serbie,"27 604,0","28 078,0"
Seychelles,"407,0","407,0"
Sierra Leone,"27 064,0","26 868,0"
Singapour,"23,0","23,0"
Sint Maarten (Dutch part),,
Slovénie,"12 550,0","12 570,0"
Somalie,"66 702,0","65 934,0"
Soudan,"550 752,1",
Soudan du Sud,"148 195,9",
Sri Lanka,"18 454,0","18 308,0"
Suède,"282 030,0","282 030,0"
Suisse,"12 446,0","12 492,0"
Suriname,"147 544,0","147 508,0"
Swaziland,"5 674,0","5 718,0"
Tadjikistan,"4 100,0","4 100,0"
Tanzanie,"330 246,0","326 212,0"
Tchad,"114 458,0","113 666,0"
Thaïlande,"189 868,0","190 016,0"
Timor-Leste,"7 308,0","7 196,0"
Togo,"2 672,0","2 672,0"
Tonga,"90,0","90,0"
Trinité-et-Tobago,"2 256,8","2 249,6"
Tunisie,"10 224,0","10 388,0"
Turkménistan,"41 270,0","41 270,0"
Turquie,"114 528,0","115 716,0"
Tuvalu,"10,0","10,0"
Ukraine,"97 310,0","97 570,0"
Uruguay,"17 888,0","18 336,0"
Vanuatu,"4 400,0","4 400,0"
Venezuela,"459 874,0","456 998,0"
Viet Nam,"139 410,0","140 850,0"
"Yémen, Rép. du","5 490,0","5 490,0"
Zambie,"493 014,0","491 348,0"
Zimbabwe,"152 970,0","149 700,0"
