Country Name,"1960 - CO2 emissions (kt)","1960 - CO2 emissions (metric tons per capita)","1970 - CO2 emissions (kt)","1970 - CO2 emissions (metric tons per capita)","1980 - CO2 emissions (kt)","1980 - CO2 emissions (metric tons per capita)","1990 - CO2 emissions (kt)","1990 - CO2 emissions (metric tons per capita)","2000 - CO2 emissions (kt)","2000 - CO2 emissions (metric tons per capita)","2005 - CO2 emissions (kt)","2005 - CO2 emissions (metric tons per capita)","2010 - CO2 emissions (kt)","2010 - CO2 emissions (metric tons per capita)","2011 - CO2 emissions (kt)","2011 - CO2 emissions (metric tons per capita)","2012 - CO2 emissions (kt)","2012 - CO2 emissions (metric tons per capita)","2013 - CO2 emissions (kt)","2013 - CO2 emissions (metric tons per capita)"
Afghanistan,"414.371","0.0460678750472635","1672.152","0.150358548261921","1760.16","0.133230270920323","2614.571","0.216660935051547","773.737","0.0392721224407343","1327.454","0.0544039684018999","8470.77","0.30293638839023","12251.447","0.425262104940417","20454.526","0.688083612623934","21268.6","0.693183410739021"
Albania,"2024.184","1.25819492789657","3744.007","1.75323990542637","5170.47","1.93505831031996","5309.816","1.61562395977292","3021.608","0.978174680894664","4253.72","1.41249821101668","4598.418","1.57857358391855","5240.143","1.80397241787674","4712.095","1.62472196333623","4814.771","1.66218482579198"
Algeria,"6160.56","0.553763578109343","15075.037","1.03608266730392","66519.38","3.43987655630397","77942.085","3.00791101112967","87930.993","2.81977800680087","107127.738","3.22015455926011","119177.5","3.30716434012848","121187.016","3.30055778866389","129987.816","3.47194993128501","134215.867","3.51478008968438"
American Samoa,"","","","","","","","","","","","","","","","","","","",""
Andorra,"","","","","","","","","524.381","8.018180706127","575.719","7.08812774706672","517.047","6.12477049005556","491.378","5.96868546996089","491.378","6.19519390791265","491.378","6.47384785644647"
Angola,"550.05","0.10435710106389","3582.659","0.568588577407697","5346.486","0.651061684496374","5115.465","0.459698486772401","9541.534","0.633625298649187","19156.408","1.06941718451386","29057.308","1.36933887792594","30340.758","1.3827521969442","33399.036","1.4722550379024","32463.951","1.3844963891048"
Antigua and Barbuda,"36.67","0.67061685045994","462.042","7.06821276140066","143.013","2.03429538697885","300.694","4.85726747003521","344.698","4.43923861528951","410.704","4.97431114879186","524.381","6.01126867125973","513.38","5.8238043379617","524.381","5.88735699289315","524.381","5.82742679335445"
Argentina,"48815.104","2.36747303164667","82734.854","3.45115922196339","108737.551","3.86885292971875","112613.57","3.44071080308001","142136.587","3.83557356194987","162110.736","4.14123649643327","187919.082","4.55861174166042","191633.753","4.60043017969054","192359.819","4.56963523938012","189818.588","4.46229797972199"
Armenia,"","","","","","","","","3465.315","1.12652945387306","4352.729","1.44373095511419","4217.05","1.42299837759187","4917.447","1.65683069720052","5694.851","1.91208959087599","5496.833","1.83705891867902"
Aruba,"","","","","","","1730.824","27.8500353993692","2321.211","25.5476787954831","2497.227","24.9645309953914","2456.89","24.182702245145","2438.555","23.9224121017109","1301.785","12.7136132352798","876.413","8.51539530319371"
Australia,"88202.351","8.58293664258675","147618.752","11.8028905412969","220746.066","15.0249160087122","263704.971","15.4528816707784","329443.28","17.2006098261369","350172.831","17.1697114460549","372798.221","16.9209536691366","376710.91","16.8626009533383","375456.796","16.5193857829994","377906.352","16.3473020462161"
Austria,"30821.135","4.37331882803344","50692.608","6.78880730716105","52306.088","6.92847899968117","57685.577","7.51324615615048","62133.648","7.7554934952792","74216.413","9.02016959759373","67832.166","8.11059300734486","65257.932","7.77653815826055","62247.325","7.38403220122062","62408.673","7.36005578241321"
Azerbaijan,"","","","","","","","","29508.349","3.66627102850185","34337.788","4.09180192686952","30678.122","3.38822587905988","33446.707","3.64617987716669","35555.232","3.82487717012357","35643.24","3.78506883600917"
"Bahamas, The","410.704","3.74983109033472","2574.234","15.2001346276483","7990.393","37.9302810215513","1950.844","7.61043622092706","1668.485","5.60099163788097","1741.825","5.29039341762771","2464.224","6.82932128703268","1906.84","5.19984401885954","1917.841","5.15011493388616","3109.616","8.22995916271659"
Bahrain,"575.719","3.54286435160399","2592.569","12.1658595414403","7887.717","21.9162911014665","12427.463","25.0581981030116","18643.028","27.9566442479999","19207.746","22.1539052425912","29137.982","23.1011996172261","29365.336","22.4847023079385","29086.644","21.8109970402909","31957.905","23.6825741592543"
Bangladesh,"","","","","7638.361","0.0938786745655729","15533.412","0.146564940293897","27869.2","0.21228704387473","39478.922","0.276211626673506","59992.12","0.395682596524262","63571.112","0.414398868276084","67480.134","0.434633966884938","68950.601","0.438735965550561"
Barbados,"172.349","0.746312799327946","429.039","1.79629218704861","674.728","2.67540057970555","1074.431","4.12649112430581","1188.108","4.40304182509506","1353.123","4.93817081671308","1477.801","5.28605409813783","1529.139","5.44949430153741","1470.467","5.22219973009447","1448.465","5.12725528578458"
Belarus,"","","","","","","","","53787.556","5.37606756621689","59167.045","6.12305132981476","62658.029","6.60253203371971","63655.453","6.7196720152011","63222.747","6.68034097633136","63769.13","6.73665011620537"
Belgium,"91000.272","9.94159407412845","125620.419","13.0101788101329","135301.299","13.7232962736892","106049.64","10.6396716729644","115118.131","11.2296676990611","108510.197","10.3553929874524","107751.128","9.88942935240014","98917.325","8.95362211506711","92195.714","8.28483788011157","93618.51","8.37163927479096"
Belize,"44.004","0.47795107963679","121.011","0.990440255690421","190.684","1.32280733397618","311.695","1.66191242961952","414.371","1.67549896487029","414.371","1.46276638931936","539.049","1.67610048226262","597.721","1.8157160085421","480.377","1.42669145577609","517.047","1.50220080013248"
Benin,"161.348","0.0663541178309111","282.359","0.097105031383167","517.047","0.139064997966662","707.731","0.141510228100017","1598.812","0.230065879391012","2394.551","0.292647893114482","5089.796","0.535215995124187","5306.149","0.54258480921767","5511.501","0.548419410073363","5797.527","0.561654398002293"
