Country Name,Country Code,2015 Urban Pop %,Urban Agglo,Latitude,Longitude,2015 Agglo Pop
Revenu intermédiaire,MIC,"50,78",,,,
"Macédoine, ex-République yougoslave de",MKD,"57,1",,,,
Mali,MLI,"39,92",,,,
Malte,MLT,"95,41",,,,
Myanmar,MMR,"34,1",,,,
Afrique du Nord et Moyen-Orient (hors revenu élevé),MNA,"60,51",,,,
Monténégro,MNE,"64,03",,,,
Mongolie,MNG,"72,04",,,,
Mariannes,MNP,"89,24",,,,
Mozambique,MOZ,"32,21",,,,
Mauritanie,MRT,"59,86",,,,
Maurice,MUS,"39,67",,,,
Malawi,MWI,"16,27",,,,
Malaisie,MYS,"74,71",,,,
Amérique du Nord,NAC,"81,64",,,,
Namibie,NAM,"46,66",,,,
Nouvelle-Calédonie,NCL,"70,21",,,,
Niger,NER,"18,73",,,,
Nigéria,NGA,"47,78",,,,
Nicaragua,NIC,"58,78",,,,
Pays-Bas,NLD,"90,5",,,,
Norvège,NOR,"80,47",,,,
Népal,NPL,"18,62",,,,
Nauru,NRU,100,,,,
Nouvelle-Zélande,NZL,"86,28",,,,
Pays membres de l'OCDE,OED,"80,25",,,,
Oman,OMN,"77,64",,,,
Autres petits états,OSS,"58,1",,,,
Pakistan,PAK,"38,76",,,,
Panama,PAN,"66,59",,,,
Pérou,PER,"78,61",,,,
Philippines,PHL,"44,37",,,,
Palaos,PLW,"87,07",,,,
Papouasie-Nouvelle-Guinée,PNG,"13,01",,,,
Pologne,POL,"60,54",,,,
de Pré-dividende démographique,PRE,"38,59",,,,
Porto Rico,PRI,"93,6",,,,
"Corée, République démocratique de",PRK,"60,88",,,,
Portugal,PRT,"63,47",,,,
Paraguay,PRY,"59,67",,,,
Petits états insulaires du Pacifique,PSS,"37,74",,,,
de Post-dividende démographique,PST,"80,97",,,,
Polynésie française,PYF,"55,88",,,,
Qatar,QAT,"99,24",,,,
Roumanie,ROU,"54,56",,,,
Fédération de Russie,RUS,"74,01",,,,
Rwanda,RWA,"28,81",,,,
Asie du Sud,SAS,"33,03",,,,
Arabie saoudite,SAU,"83,13",,,,
Soudan,SDN,"33,81",,,,
Sénégal,SEN,"43,72",,,,
Singapour,SGP,100,,,,
