English ID,Forest area (sq. km) 2011,Forest area (sq. km) 2012
Solomon Islands,"22,074.0","22,018.0"
Somalia,"66,702.0","65,934.0"
South Africa,"92,410.0","92,410.0"
South Sudan,"148,195.9",
Spain,"183,493.0","185,253.2"
Sri Lanka,"18,454.0","18,308.0"
St. Kitts and Nevis,110.0,110.0
St. Lucia,470.0,470.0
St. Martin (French part),,
St. Vincent and the Grenadines,267.8,268.6
Sudan,"550,752.1",
Suriname,"147,544.0","147,508.0"
Swaziland,"5,674.0","5,718.0"
Sweden,"282,030.0","282,030.0"
Switzerland,"12,446.0","12,492.0"
Syrian Arab Republic,"4,970.0","5,030.0"
Tajikistan,"4,100.0","4,100.0"
Tanzania,"330,246.0","326,212.0"
Thailand,"189,868.0","190,016.0"
Timor-Leste,"7,308.0","7,196.0"
Togo,"2,672.0","2,672.0"
Tonga,90.0,90.0
Trinidad and Tobago,"2,256.8","2,249.6"
Tunisia,"10,224.0","10,388.0"
Turkey,"114,528.0","115,716.0"
Turkmenistan,"41,270.0","41,270.0"
Turks and Caicos Islands,344.0,344.0
Tuvalu,10.0,10.0
Uganda,"28,998.0","28,116.0"
Ukraine,"97,310.0","97,570.0"
United Arab Emirates,"3,183.6","3,194.2"
United Kingdom,"28,882.0","28,954.0"
United States,"3,044,048.0","3,047,876.0"
Uruguay,"17,888.0","18,336.0"
Uzbekistan,"32,716.0","32,677.0"
Vanuatu,"4,400.0","4,400.0"
"Venezuela, RB","459,874.0","456,998.0"
Vietnam,"139,410.0","140,850.0"
Virgin Islands (U.S.),201.0,199.0
West Bank and Gaza,91.7,91.7
"Yemen, Rep.","5,490.0","5,490.0"
Zambia,"493,014.0","491,348.0"
Zimbabwe,"152,970.0","149,700.0"
