ID,nuts318nm,Pop_2014,Pop_2015,Pop_2016,Pop_2017,Pop_2018
UKJ26,East Surrey,200 477,201 981,203 230,204 533,205 909
UKJ27,West Sussex (South West),228 376,230 200,231 906,233 408,235 307
UKJ28,West Sussex (North East),197 320,199 287,201 324,203 018,204 603
UKJ31,Portsmouth,102 533,103 205,104 187,105 108,105 684
UKJ32,Southampton,118 791,120 049,121 743,123 120,123 921
UKJ34,Isle of Wight,71 034,71 315,71 532,71 857,72 022
UKJ35,South Hampshire,228 840,230 092,231 167,232 720,233 961
UKJ36,Central Hampshire,275 787,277 944,279 853,281 291,283 018
UKJ37,North Hampshire,181 830,182 734,183 440,183 969,184 803
UKJ41,Medway,137 083,138 166,139 130,139 794,141 078
UKJ43,Kent Thames Gateway,174 783,177 047,179 315,181 471,183 476
UKJ44,East Kent,264 089,266 280,268 616,270 627,272 263
UKJ45,Mid Kent,144 257,145 981,147 661,149 509,151 133
UKJ46,West Kent,182 733,183 853,185 025,186 406,187 306
UKK11,"Bristol, City of",220 901,223 785,226 510,228 526,230 925
UKK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",334 183,337 336,341 014,344 044,347 031
UKK13,Gloucestershire,310 198,313 231,316 205,318 859,321 321
UKK14,Swindon,107 702,108 660,109 309,110 020,110 874
UKK15,Wiltshire,243 822,245 919,247 870,249 722,251 381
UKK21,Bournemouth and Poole,170 027,171 180,172 264,173 217,174 153
UKK22,Dorset CC,213 885,214 974,216 015,216 898,217 626
UKK23,Somerset,276 525,278 523,280 734,282 905,284 649
UKK30,Cornwall and Isles of Scilly,280 972,283 221,285 571,288 292,290 303
UKK41,Plymouth,130 773,131 350,131 695,131 920,132 352
UKK42,Torbay,68 572,68 900,69 105,69 369,69 635
UKK43,Devon CC,390 763,394 203,397 489,401 102,403 615
UKL11,Isle of Anglesey,35 673,35 582,35 450,35 413,35 566
UKL12,Gwynedd,61 561,61 738,62 082,62 328,62 147
UKL13,Conwy and Denbighshire,107 834,107 942,108 003,108 192,108 238
UKL14,South West Wales,195 034,194 784,194 714,195 162,195 647
UKL15,Central Valleys,150 814,151 035,151 466,152 101,152 104
UKL16,Gwent Valleys,173 954,174 212,174 407,174 638,174 899
UKL17,Bridgend and Neath Port Talbot,142 865,143 376,143 988,144 584,144 542
UKL18,Swansea,121 244,121 480,122 020,122 622,122 525
UKL21,Monmouthshire and Newport,121 815,122 239,122 893,123 841,123 714
UKL22,Cardiff and Vale of Glamorgan,245 009,246 485,248 182,249 945,251 464
UKL23,Flintshire and Wrexham,146 148,146 279,146 236,146 367,147 344
UKL24,Powys,67 089,67 045,66 934,66 902,66 796
UKM50,Aberdeen City and Aberdeenshire,245 386,247 125,247 646,246 982,248 488
UKM61,Caithness & Sutherland and Ross & Cromarty,47 901,47 830,47 876,47 827,48 371
UKM62,"Inverness & Nairn and Moray, Badenoch & Strathspey",102 152,102 783,103 352,103 664,103 429
UKM63,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",51 662,51 373,51 150,51 068,51 049
UKM64,Na h-Eileanan Siar (Western Isles),13 846,13 753,13 662,13 634,13 586
UKM65,Orkney Islands,10 840,10 868,10 929,11 014,11 011
UKM66,Shetland Islands,11 427,11 426,11 417,11 381,11 381
UKM71,Angus and Dundee City,136 601,136 725,136 662,136 592,136 714
UKM72,Clackmannanshire and Fife,215 239,215 810,216 578,217 152,217 594
UKM73,East Lothian and Midlothian,97 376,98 492,99 688,100 846,101 877
UKM75,"Edinburgh, City of",251 373,254 445,258 269,261 745,264 256
UKM76,Falkirk,80 521,80 805,81 164,81 548,81 874
UKM77,Perth & Kinross and Stirling,123 390,124 240,125 058,125 525,125 988
UKM78,West Lothian,90 166,90 696,91 441,92 164,92 688
UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",114 521,114 711,114 975,115 187,115 407
UKM82,Glasgow City,309 515,311 379,314 596,317 692,319 597
UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",180 338,180 681,181 267,181 979,182 374
UKM84,North Lanarkshire,173 921,174 061,174 351,174 728,175 049
UKM91,Scottish Borders,58 642,58 737,58 890,59 118,59 219
UKM92,Dumfries & Galloway,77 225,77 056,76 986,76 883,76 755
UKM93,East Ayrshire and North Ayrshire mainland,131 648,131 338,131 179,131 013,130 782
UKM94,South Ayrshire,58 960,58 783,58 768,58 838,58 813
UKM95,South Lanarkshire,163 397,163 659,163 974,164 259,164 593
UKN06,Belfast,174 072,174 879,175 236,175 125,175 201
UKN07,"Armagh City, Banbridge and Craigavon",103 438,104 335,105 383,106 351,107 328
UKN08,"Newry, Mourne and Down",88 315,88 797,89 367,90 008,90 645
UKN09,Ards and North Down,81 495,81 752,82 062,82 380,82 590
UKN10,Derry City and Strabane,75 760,76 001,76 262,76 529,76 604
UKN11,Mid Ulster,71 010,71 565,72 114,72 647,73 248
UKN12,Causeway Coast and Glens,71 753,72 073,72 302,72 485,72 639
UKN13,Antrim and Newtownabbey,71 942,72 212,72 444,72 698,72 967
UKN14,Lisburn and Castlereagh,70 394,71 121,71 725,72 268,72 869
UKN15,Mid and East Antrim,69 826,69 999,70 202,70 399,70 578
UKN16,Fermanagh and Omagh,57 304,57 532,57 739,57 982,58 277
