ID,Total SAU (superficie agricole utilisée),SAU des exploitations 0-9.9 ha,SAU des exploitations 10-49.9 ha,SAU des exploitations 50 ha et plus,% SAU des exploitations 0-9.9 ha,% SAU des exploitations 10-49.9 ha,% SAU des exploitations 50 ha et plus
UKI1,0,0,0,0,:,:,:
UKI2,11090,300,2930,7860,"2,71","26,42","70,87"
UKJ1,383600,4450,31260,347900,"1,16","8,15","90,69"
UKJ2,315430,6940,52730,255750,"2,20","16,72","81,08"
UKJ3,261590,3220,21760,236610,"1,23","8,32","90,45"
UKJ4,221520,4270,27500,189750,"1,93","12,41","85,66"
UKK1,558620,7610,50780,500230,"1,36","9,09","89,55"
UKK2,494990,8890,60700,425410,"1,80","12,26","85,94"
UKK3,240720,5380,44290,191050,"2,23","18,40","79,37"
UKK4,516390,11010,82080,423310,"2,13","15,89","81,97"
UKL1,1094040,26450,167660,899940,"2,42","15,32","82,26"
UKL2,651500,11040,77670,562780,"1,69","11,92","86,38"
UKM2,1247660,8280,53210,1186170,"0,66","4,26","95,07"
UKM3,798340,7800,61230,729330,"0,98","7,67","91,36"
UKM5,478770,6240,42650,429880,"1,30","8,91","89,79"
UKM6,2763560,25290,107550,2630730,"0,92","3,89","95,19"
UKN0,1046140,26250,358040,661850,"2,51","34,22","63,27"
NO01,78990,2770,32320,43910,"3,51","40,92","55,59"
NO02,208600,11540,123620,73450,"5,53","59,26","35,21"
NO03,189890,11850,101120,76910,"6,24","53,25","40,50"
NO04,130030,9710,89000,31310,"7,47","68,45","24,08"
NO05,138750,21990,103080,13680,"15,85","74,29","9,86"
NO06,160630,7030,107000,46600,"4,38","66,61","29,01"
NO07,89380,3060,63960,22370,"3,42","71,56","25,03"
