ID,Name,TYPE IRIS,POP 2013,POP homme,POP femme,POP_inf19a,POP_20_64a,POP_sup65a,% homme,% femme,% inf19a,% 20_64a,% sup65a
751041502,ARSENAL 2,H,1 566,774,792,214,987,365,"49,43","50,57","13,67","63,03","23,31"
751041501,ARSENAL 1,H,3 109,1 439,1 670,759,1 933,416,"46,28","53,72","24,41","62,17","13,38"
751124577,BOIS DE VINCENNES,D,413,258,155,87,325,1,"62,47","37,53","21,07","78,69","0,24"
751124601,PICPUS 1,H,3 058,1 494,1 564,492,2 074,492,"48,86","51,14","16,09","67,82","16,09"
751124503,BEL AIR 3,H,2 253,1 067,1 185,450,1 423,380,"47,36","52,60","19,97","63,16","16,87"
751124621,PICPUS 21,H,2 136,1 076,1 060,399,1 545,193,"50,37","49,63","18,68","72,33","9,04"
751124505,BEL AIR 5,H,1 983,885,1 098,273,1 335,375,"44,63","55,37","13,77","67,32","18,91"
751124811,QUINZE VINGTS 11,A,0,0,0,0,0,0,,,,,
751124612,PICPUS 12,H,2 712,1 218,1 494,307,1 994,410,"44,91","55,09","11,32","73,53","15,12"
751124619,PICPUS 19,H,4 766,2 173,2 593,1 110,2 921,735,"45,59","54,41","23,29","61,29","15,42"
751124806,QUINZE VINGTS 6,H,2 421,1 102,1 319,486,1 718,216,"45,52","54,48","20,07","70,96","8,92"
751124511,BEL AIR 11,H,2 368,1 039,1 329,644,1 288,436,"43,88","56,12","27,20","54,39","18,41"
751124809,QUINZE VINGTS 9,H,2 617,1 322,1 296,392,1 901,324,"50,52","49,52","14,98","72,64","12,38"
751124618,PICPUS 18,H,2 176,1 011,1 165,302,1 342,532,"46,46","53,54","13,88","61,67","24,45"
751124677,BOIS DE VINCENNES,D,729,596,133,113,587,29,"81,76","18,24","15,50","80,52","3,98"
751124616,PICPUS 16,H,5 896,2 581,3 316,1 580,3 350,967,"43,78","56,24","26,80","56,82","16,40"
751124506,BEL AIR 6,H,1 977,828,1 148,411,1 153,413,"41,88","58,07","20,79","58,32","20,89"
751124602,PICPUS 2,H,3 159,1 421,1 738,586,2 059,515,"44,98","55,02","18,55","65,18","16,30"
751124804,QUINZE VINGTS 4,H,2 277,1 090,1 186,338,1 654,285,"47,87","52,09","14,84","72,64","12,52"
751124507,BEL AIR 7,H,2 251,986,1 265,342,1 385,524,"43,80","56,20","15,19","61,53","23,28"
751166277,BOIS DE BOULOGNE,D,40,14,26,3,36,0,"35,00","65,00","7,50","90,00","0,00"
751166217,MUETTE 17,H,2 548,1 125,1 423,649,1 362,537,"44,15","55,85","25,47","53,45","21,08"
751166129,AUTEUIL 29,H,1 729,778,950,241,1 010,478,"45,00","54,95","13,94","58,42","27,65"
751166306,PORTE DAUPHINE 6,H,2 480,1 157,1 322,581,1 501,398,"46,65","53,31","23,43","60,52","16,05"
751166117,AUTEUIL 17,H,2 766,1 220,1 546,607,1 503,656,"44,11","55,89","21,95","54,34","23,72"
751166105,AUTEUIL 5,H,2 357,1 066,1 291,452,1 342,563,"45,23","54,77","19,18","56,94","23,89"
751166209,MUETTE 9,H,2 296,1 088,1 208,590,1 177,529,"47,39","52,61","25,70","51,26","23,04"
751166130,AUTEUIL 30,H,2 390,1 077,1 313,485,1 399,507,"45,06","54,94","20,29","58,54","21,21"
751166402,CHAILLOT 2,H,2 176,1 013,1 163,428,1 297,452,"46,55","53,45","19,67","59,60","20,77"
751166205,MUETTE 5,H,1 790,759,1 032,303,990,498,"42,40","57,65","16,93","55,31","27,82"
751166127,AUTEUIL 27,H,3 654,1 677,1 978,855,2 065,734,"45,89","54,13","23,40","56,51","20,09"
751197524,AMERIQUE 24,H,2 029,1 050,979,414,1 333,282,"51,75","48,25","20,40","65,70","13,90"
751166177,BOIS DE BOULOGNE,D,66,38,28,22,40,4,"57,58","42,42","33,33","60,61","6,06"
751166120,AUTEUIL 20,H,1 701,834,866,382,885,434,"49,03","50,91","22,46","52,03","25,51"
751166407,CHAILLOT 7,H,3 167,1 467,1 700,543,1 772,852,"46,32","53,68","17,15","55,95","26,90"
751166410,CHAILLOT 10,A,584,261,323,128,309,147,"44,69","55,31","21,92","52,91","25,17"
751166413,CHAILLOT 13,A,111,57,54,33,55,23,"51,35","48,65","29,73","49,55","20,72"
