ID,Name,Name alt,POP 2008,POP 2013,POP 2014,POP_15_19a,POP_20_24a,POP_25_39a,POP_40_54a,POP_55_64a,POP_65_79a,POP_sup80a,%_15_19,%_20_24,%_25_39,%_40_54,%_55_64,%_65_79,%_sup80
94065,Rungis,Rungis,5688,5688,5651,360,475,1074,1392,764,382,123,6.33,8.35,18.88,24.47,13.43,6.72,2.16
94048,Marolles-en-Brie,Marolles-en-Brie,5201,4941,4777,380,310,608,1181,872,430,78,7.69,6.27,12.31,23.9,17.65,8.7,1.58
94054,Orly,Orly,21183,22666,22603,1421,1409,4838,4267,2409,1904,783,6.27,6.22,21.34,18.83,10.63,8.4,3.45
94077,Villeneuve-le-Roi,Villeneuve-le-Roi,18560,20602,19870,1308,1455,3875,4344,2254,1915,918,6.35,07.06,18.81,21.09,10.94,9.3,4.46
94075,Villecresnes,Villecresnes,9519,9805,9641,622,553,1529,2144,1290,1200,367,6.34,5.64,15.59,21.87,13.16,12.24,3.74
94001,Ablon-sur-Seine,Ablon-sur-Seine,5165,5423,5449,265,315,1284,1003,533,528,257,4.89,5.81,23.68,18.5,9.83,9.74,4.74
94047,Mandres-les-Roses,Mandres-les-Roses,4379,4467,4455,284,255,627,1050,592,463,131,6.36,5.71,14.04,23.51,13.25,10.36,2.93
94056,Périgny,Périgny,2244,2513,2545,158,152,439,625,310,237,39,6.29,06.05,17.47,24.87,12.34,9.43,1.55
94016,Cachan,Cachan,27850,29799,29932,1856,3590,5929,5484,2776,2593,1347,6.23,12.05,19.9,18.4,9.32,8.7,4.52
94038,LHaÿ-les-Roses,LHaÿ-les-Roses,29984,31483,30772,1866,1833,5750,6510,3642,3585,1376,5.93,5.82,18.26,20.68,11.57,11.39,4.37
94068,Saint-Maur-des-Fossés,Saint-Maur-des-Fossés,76548,75017,75285,4604,4419,13711,15880,8745,9151,4873,6.14,5.89,18.28,21.17,11.66,12.2,6.5
94078,Villeneuve-Saint-Georges,Villeneuve-Saint-Georges,31080,32802,32976,2217,2732,7342,6551,3004,2227,884,6.76,8.33,22.38,19.97,9.16,6.79,2.69
94033,Fontenay-sous-Bois,Fontenay-sous-Bois,53197,53729,53272,3183,3064,11011,11775,5836,4914,2054,5.92,5.7,20.49,21.92,10.86,9.15,3.82
