ID,Régions-2015,Population 2013,remarque
42,Alsace,1868183,
72,Aquitaine,3316889,
83,Auvergne,1357668,
25,Basse-Normandie,1478712,
26,Bourgogne,1642687,
53,Bretagne,3258707,
24,Centre,2570548,
21,Champagne-Ardenne,1339008,
94,Corse,320208,
43,Franche-Comté,1177096,
23,Haute-Normandie,1849652,
11,Île-de-France,11959807,
91,Languedoc-Roussillon,2729721,
74,Limousin,737509,
41,Lorraine,2345197,
73,Midi-Pyrénées,2954157,
31,Nord-Pas-de-Calais,4060741,
52,Pays de la Loire,3660852,
22,Picardie,1927142,
54,Poitou-Charentes,1789779,
93,Provence-Alpes-Côte d'Azur,4953675,
82,Rhône-Alpes,6399927,
01,Guadeloupe,402119,
02,Guyane,244118,
03,La Réunion,835103,
04,Martinique,385551,
06,Mayotte,217091,donnée 2012
