ID,Census division,2011,2012,2013,2014,2015,2016,2017
2436,"Shawinigan, Quebec",50263,50019,49858,49633,49325,49190,48967
2437,"Francheville, Quebec",150590,151481,152155,153211,153751,154565,155700
2438,"Bécancour, Quebec",20241,20444,20581,20542,20561,20654,20613
2439,"Arthabaska, Quebec",69841,70427,70933,71642,71849,72284,72757
2440,"Les Sources, Quebec",14822,14838,14811,14673,14545,14503,14474
2441,"Le Haut-Saint-François, Quebec",22194,22396,22406,22442,22417,22389,22479
2442,"Le Val-Saint-François, Quebec",29838,30001,30152,30256,30394,30668,30796
2443,"Sherbrooke, Quebec",156759,158449,159864,161603,162613,165005,166988
2444,"Coaticook, Quebec",18949,18925,18862,18910,18942,19045,18993
2445,"Memphrémagog, Quebec",48715,49060,49720,50117,50530,50893,51371
2446,"Brome-Missisquoi, Quebec",55985,56660,57191,57578,58005,58701,59657
2447,"La Haute-Yamaska, Quebec",85839,86724,87557,88199,88742,89546,90442
2448,"Acton, Quebec",15486,15525,15549,15533,15610,15556,15522
2449,"Drummond, Quebec",99674,100619,101506,102412,103215,104164,105358
2450,"Nicolet-Yamaska, Quebec",22929,22947,23009,22998,22972,22971,23232
2451,"Maskinongé, Quebec",36528,36654,36685,36805,36861,36921,37087
2452,"D'Autray, Quebec",41941,42163,42262,42279,42388,42507,42801
2453,"Pierre-De Saurel, Quebec",51244,51226,51234,51308,51255,51273,51225
2454,"Les Maskoutains, Quebec",85012,85858,86229,86656,86880,87639,87969
2455,"Rouville, Quebec",36079,36262,36455,36761,36849,36956,37294
2456,"Le Haut-Richelieu, Quebec",115375,115647,116428,116969,117334,118061,118944
2457,"La Vallée-du-Richelieu, Quebec",117877,119720,121242,122314,123576,124814,126587
2458,"Longueuil, Quebec",403342,407146,412027,416248,419203,423422,426626
2459,"Lajemmerais, Quebec",75124,76093,76571,77359,77879,78465,78866
2460,"L'Assomption, Quebec",120983,122483,123867,124475,124891,125497,125983
2461,"Joliette, Quebec",64174,65021,66173,67096,67206,67468,68178
2462,"Matawinie, Quebec",50210,50492,50557,50811,51321,51889,52203
2463,"Montcalm, Quebec",48918,49956,50808,51775,52913,53999,54950
2464,"Les Moulins, Quebec",150711,153821,155755,157550,158882,160597,163039
2465,"Laval, Quebec",406098,412021,417192,421849,425345,431208,437413
2466,"Montréal, Quebec",1915617,1938385,1956779,1974861,1987502,2008777,2033189
2467,"Roussillon, Quebec",173856,176112,178103,179691,181432,183452,185719
2468,"Les Jardins-de-Napierville, Quebec",26496,26894,27222,27415,27765,28285,28596
2469,"Le Haut-Saint-Laurent, Quebec",24486,24472,24511,24631,24534,24667,24858
2470,"Beauharnois-Salaberry, Quebec",62485,62731,63246,63824,64298,64768,65368
2471,"Vaudreuil-Soulanges, Quebec",140819,143528,145529,147254,148784,150637,152861
2472,"Deux-Montagnes, Quebec",98219,99095,99780,100340,101032,101715,102592
2473,"Thérèse-De Blainville, Quebec",155543,156809,157733,158474,159005,160203,161442
2474,"Mirabel, Quebec",42607,44281,46092,47908,49828,51439,53345
2475,"La Rivière-du-Nord, Quebec",116626,119486,122310,124971,127335,130267,132781
2476,"Argenteuil, Quebec",32353,32425,32581,32552,32742,32725,32913
2477,"Les Pays-d'en-Haut, Quebec",40547,41373,41607,42101,42458,43063,43743
2478,"Les Laurentides, Quebec",45441,45688,45822,46124,46349,46798,47179
2479,"Antoine-Labelle, Quebec",35347,35497,35330,35273,35289,35378,35426
2480,"Papineau, Quebec",22756,22809,22950,23091,23218,23389,23411
2481,"Gatineau, Quebec",268838,272062,274140,276292,278032,281501,284557
2482,"Les Collines-de-l'Outaouais, Quebec",46910,47608,48271,48779,49175,49769,50471
2483,"La Vallée-de-la-Gatineau, Quebec",20935,20939,20942,20848,20676,20549,20503
2484,"Pontiac, Quebec",14466,14394,14254,14164,14080,14005,13843
2485,"Témiscamingue, Quebec",16279,16334,16355,16239,16118,15984,15842
2486,"Rouyn-Noranda, Quebec",41439,41642,41870,42046,42104,42246,42427
2487,"Abitibi-Ouest, Quebec",21131,21206,21136,21050,20936,20900,20816
2488,"Abitibi, Quebec",24551,24705,24818,24959,24953,24846,25026
2489,"La Vallée-de-l'Or, Quebec",43283,43690,43920,43958,43851,43912,43798
2490,"La Tuque, Quebec",15214,15173,15178,15093,15026,14910,14905
2491,"Le Domaine-du-Roy, Quebec",32063,31956,31734,31806,31713,31667,31508
2492,"Maria-Chapdelaine, Quebec",25395,25370,25372,25262,25164,25081,24915
2493,"Lac-Saint-Jean-Est, Quebec",52939,53126,53291,53407,53414,53393,53371
2494,"Le Saguenay-et-son-Fjord, Quebec",166852,167668,167889,167724,167415,166963,166715
2495,"La Haute-Côte-Nord, Quebec",11607,11508,11430,11294,11199,11100,10934
2496,"Manicouagan, Quebec",32339,32293,32178,31974,31560,31047,30798
2497,"Sept-Rivières-Caniapiscau, Quebec",39926,40156,40247,40056,39429,38932,38510
2498,"Minganie-Le Golfe-du-Saint-Laurent, Quebec",11816,11773,11769,11702,11602,11452,11304
2499,"Nord-du-Québec, Quebec",43023,43519,43972,44287,44759,45025,45367
3501,"Stormont, Dundas and Glengarry, Ontario",115557,115670,115433,115272,115182,115105,115245
3502,"Prescott and Russell, Ontario",87780,88631,88925,89309,89655,89912,90419
3506,"Ottawa, Ontario",912248,924466,936102,946683,956731,973561,994837
3507,"Leeds and Grenville, Ontario",101752,101854,101636,101411,101214,101464,101823
